cup,result,group,date,matchnum,away,home,home_res,away_res,home_win,away_win,match,home_victories,away_victories,home_loss,away_loss,home_losses,away_losses,home_goals,away_goals,home_goals_against,away_goals_against
1950 FIFA World Cup Brazil ™,6-1,Group 6,13 Jul 1950,Match 19,Spain,Brazil,6,1,1,0,19,3,3,0,1,0,0,15,8,9,5
1934 FIFA World Cup Italy ™,1-1,Quarter-finals,31 May 1934,Match 11,Spain,Italy,1,1,0,0,11,1,1,0,0,0,0,7,3,7,3
1934 FIFA World Cup Italy ™,2-1,Quarter-finals,31 May 1934,Match 12,Hungary,Austria,2,1,1,0,12,1,1,0,1,0,0,3,4,3,4
1934 FIFA World Cup Italy ™,1-0,Quarter-finals,01 Jun 1934,Match 13,Spain,Italy,1,0,1,0,13,1,1,0,1,0,0,8,4,8,4
1934 FIFA World Cup Italy ™,1-0,Semi-finals,03 Jun 1934,Match 14,Austria,Italy,1,0,1,0,14,2,2,0,1,0,0,9,5,8,5
1934 FIFA World Cup Italy ™,3-1,Semi-finals,03 Jun 1934,Match 15,Germany,Czechoslovakia,3,1,1,0,15,2,2,0,1,0,0,5,7,5,7
1930 FIFA World Cup Uruguay ™,6-3,Group 1,19 Jul 1930,Match 11,Mexico,Argentina,6,3,1,0,11,1,0,0,1,0,2,1,1,0,1
1930 FIFA World Cup Uruguay ™,4-0,Group 2,20 Jul 1930,Match 12,Bolivia,Brazil,4,0,1,0,12,0,0,0,1,1,1,1,0,1,0
1930 FIFA World Cup Uruguay ™,1-0,Group 4,20 Jul 1930,Match 13,Belgium,Paraguay,1,0,1,0,13,0,0,0,1,1,1,0,0,0,0
1930 FIFA World Cup Uruguay ™,4-0,Group 3,21 Jul 1930,Match 14,Romania,Uruguay,4,0,1,0,14,1,1,0,1,0,0,1,3,0,3
1930 FIFA World Cup Uruguay ™,3-1,Group 1,22 Jul 1930,Match 15,Chile,Argentina,3,1,1,0,15,2,2,0,1,0,0,7,4,6,0
1966 FIFA World Cup England ™,2-1,Semi-finals,26 Jul 1966,Match 30,Portugal,England,2,1,1,0,30,3,4,0,1,0,0,5,14,0,11
1966 FIFA World Cup England ™,2-1,Match for third place,28 Jul 1966,Match 31,Soviet Union,Portugal,2,1,1,0,31,4,4,0,1,1,1,15,9,12,5
1966 FIFA World Cup England ™,4-2,Final,30 Jul 1966,Match 32,Germany FR,England,4,2,1,0,32,4,4,0,1,0,0,7,13,2,4
1938 FIFA World Cup France ™,5-1,Semi-finals,16 Jun 1938,Match 15,Sweden,Hungary,5,1,1,0,15,2,1,0,1,0,0,8,8,0,0
1938 FIFA World Cup France ™,2-1,Semi-finals,16 Jun 1938,Match 16,Brazil,Italy,2,1,1,0,16,2,2,0,1,0,0,5,9,5,9
1938 FIFA World Cup France ™,4-2,Match for third place,19 Jun 1938,Match 17,Sweden,Brazil,4,2,1,0,17,2,1,0,1,1,1,10,9,10,1
1938 FIFA World Cup France ™,4-2,Final,19 Jun 1938,Match 18,Hungary,Italy,4,2,1,0,18,3,3,0,1,0,0,7,13,7,5
1962 FIFA World Cup Chile ™,1-0,Match for third place,16 Jun 1962,Match 31,Yugoslavia,Chile,1,0,1,0,31,3,3,0,1,2,2,9,10,7,4
1962 FIFA World Cup Chile ™,3-1,Final,17 Jun 1962,Match 32,Czechoslovakia,Brazil,3,1,1,0,32,4,3,0,1,0,1,11,6,9,4
1958 FIFA World Cup Sweden ™,5-2,Final,29 Jun 1958,Match 32,Sweden,Brazil,5,2,1,0,32,4,4,0,1,0,0,11,10,5,5
1986 FIFA World Cup Mexico ™,1-1,Quarter-finals,22 Jun 1986,Match 47,Belgium,Spain,1,1,0,0,47,3,2,0,0,1,1,10,9,7,9
1986 FIFA World Cup Mexico ™,2-1,Quarter-finals,22 Jun 1986,Match 48,England,Argentina,2,1,1,0,48,3,2,0,1,0,1,7,6,4,0
1986 FIFA World Cup Mexico ™,0-2,Semi-finals,25 Jun 1986,Match 50,Germany FR,France,0,2,0,1,50,3,2,1,0,0,1,8,4,2,3
1986 FIFA World Cup Mexico ™,2-0,Semi-finals,25 Jun 1986,Match 49,Belgium,Argentina,2,0,1,0,49,4,2,0,1,0,1,9,10,6,10
1986 FIFA World Cup Mexico ™,4-2,Match for third place,28 Jun 1986,Match 51,Belgium,France,4,2,1,0,51,3,2,0,1,1,2,8,10,2,10
1982 FIFA World Cup Spain ™,0-1,Group 1,01 Jul 1982,Match 42,Soviet Union,Belgium,0,1,0,1,42,2,1,1,0,1,1,3,6,1,3
1982 FIFA World Cup Spain ™,1-3,Group 3,02 Jul 1982,Match 43,Brazil,Argentina,1,3,0,1,43,2,3,1,0,2,0,7,10,5,6
1982 FIFA World Cup Spain ™,2-1,Group 2,02 Jul 1982,Match 44,Spain,Germany FR,2,1,1,0,44,2,1,0,1,1,1,6,3,5,3
1982 FIFA World Cup Spain ™,4-1,Group 4,04 Jul 1982,Match 45,Northern Ireland,France,4,1,1,0,45,2,1,0,1,1,0,7,4,6,3
1982 FIFA World Cup Spain ™,0-0,Group 1,04 Jul 1982,Match 46,Soviet Union,Poland,0,0,0,0,46,2,2,0,0,0,1,8,7,5,3
1974 FIFA World Cup Germany ™,1-2,Final,07 Jul 1974,Match 38,Germany FR,Netherlands,1,2,0,1,38,5,5,1,0,0,1,14,11,4,4
1950 FIFA World Cup Brazil ™,3-2,Group 6,13 Jul 1950,Match 20,Sweden,Uruguay,3,2,1,0,20,1,1,0,1,0,1,10,6,2,6
1950 FIFA World Cup Brazil ™,3-1,Group 6,16 Jul 1950,Match 21,Spain,Sweden,3,1,1,0,21,1,3,0,1,2,1,8,9,8,6
1950 FIFA World Cup Brazil ™,2-1,Group 6,16 Jul 1950,Match 22,Brazil,Uruguay,2,1,1,0,22,2,4,0,1,0,0,13,21,5,15
1934 FIFA World Cup Italy ™,3-2,Match for third place,07 Jun 1934,Match 16,Austria,Germany,3,2,1,0,16,2,2,0,1,1,1,8,5,8,5
1934 FIFA World Cup Italy ™,2-1,Final,10 Jun 1934,Match 17,Czechoslovakia,Italy,2,1,1,0,17,3,3,0,1,0,0,10,8,8,8
1930 FIFA World Cup Uruguay ™,6-1,Semi-finals,26 Jul 1930,Match 16,USA,Argentina,6,1,1,0,16,3,2,0,1,0,0,10,6,9,0
1930 FIFA World Cup Uruguay ™,6-1,Semi-finals,27 Jul 1930,Match 17,Yugoslavia,Uruguay,6,1,1,0,17,2,2,0,1,0,0,5,6,0,2
1930 FIFA World Cup Uruguay ™,4-2,Final,30 Jul 1930,Match 18,Argentina,Uruguay,4,2,1,0,18,3,4,0,1,0,0,11,16,6,15
1986 FIFA World Cup Mexico ™,3-2,Final,29 Jun 1986,Match 52,Germany FR,Argentina,3,2,1,0,52,5,3,0,1,0,1,11,6,6,3
1982 FIFA World Cup Spain ™,3-2,Group 3,05 Jul 1982,Match 47,Brazil,Italy,3,2,1,0,47,1,4,0,1,0,0,4,13,4,9
1982 FIFA World Cup Spain ™,0-0,Group 2,05 Jul 1982,Match 48,England,Spain,0,0,0,0,48,1,3,0,0,2,0,4,6,4,3
1982 FIFA World Cup Spain ™,0-2,Semi-finals,08 Jul 1982,Match 49,Italy,Poland,0,2,0,1,49,2,2,1,0,0,0,8,7,5,7
1982 FIFA World Cup Spain ™,3-3,Semi-finals,08 Jul 1982,Match 50,France,Germany FR,3,3,0,0,50,3,3,0,0,1,1,8,11,7,10
1982 FIFA World Cup Spain ™,3-2,Match for third place,10 Jul 1982,Match 51,France,Poland,3,2,1,0,51,2,3,0,1,1,1,8,14,5,13
1982 FIFA World Cup Spain ™,3-1,Final,11 Jul 1982,Match 52,Germany FR,Italy,3,1,1,0,52,3,3,0,1,0,1,9,11,7,10
