cup,result,group,date,matchnum,away,home,home_res,away_res,home_win,away_win,match,home_victories,away_victories,home_loss,away_loss,home_losses,away_losses,home_goals,away_goals,home_goals_against,away_goals_against
1954 FIFA World Cup Switzerland ™,3-1,Match for third place,03 Jul 1954,Match 23,Uruguay,Austria,3,1,1,0,23,3,3,0,1,1,1,14,15,8,6
1974 FIFA World Cup Germany ™,2-1,Group 4,23 Jun 1974,Match 24,Italy,Poland,2,1,1,0,24,2,1,0,1,0,0,10,4,3,4
1974 FIFA World Cup Germany ™,0-2,Group B,26 Jun 1974,Match 27,Germany FR,Yugoslavia,0,2,0,1,27,1,2,1,0,0,1,10,4,1,0
1974 FIFA World Cup Germany ™,1-0,Group A,26 Jun 1974,Match 25,German DR,Brazil,1,0,1,0,25,1,2,0,1,0,0,3,4,0,1
1974 FIFA World Cup Germany ™,4-0,Group A,26 Jun 1974,Match 26,Argentina,Netherlands,4,0,1,0,26,2,1,0,1,0,1,6,7,4,7
1974 FIFA World Cup Germany ™,0-1,Group B,26 Jun 1974,Match 28,Poland,Sweden,0,1,0,1,28,1,3,1,0,0,0,3,12,0,5
1950 FIFA World Cup Brazil ™,2-2,Group 1,28 Jun 1950,Match 6,Switzerland,Brazil,2,2,0,0,6,1,0,0,0,0,1,4,0,0,0
1950 FIFA World Cup Brazil ™,4-1,Group 1,28 Jun 1950,Match 7,Mexico,Yugoslavia,4,1,1,0,7,1,0,0,1,0,1,3,0,0,0
1950 FIFA World Cup Brazil ™,2-0,Group 2,29 Jun 1950,Match 8,Chile,Spain,2,0,1,0,8,1,0,0,1,0,1,3,0,3,0
1950 FIFA World Cup Brazil ™,2-2,Group 3,29 Jun 1950,Match 9,Paraguay,Sweden,2,2,0,0,9,1,0,0,0,0,0,3,0,3,0
1934 FIFA World Cup Italy ™,4-2,Preliminary round,27 May 1934,Match 5,Egypt,Hungary,4,2,1,0,5,0,0,0,1,0,0,0,0,0,0
1934 FIFA World Cup Italy ™,3-2,Preliminary round,27 May 1934,Match 6,Netherlands,Switzerland,3,2,1,0,6,0,0,0,1,0,0,0,0,0,0
1934 FIFA World Cup Italy ™,3-2,Preliminary round,27 May 1934,Match 1,Argentina,Sweden,3,2,1,0,1,0,0,0,1,0,0,0,0,0,0
1934 FIFA World Cup Italy ™,5-2,Preliminary round,27 May 1934,Match 3,Belgium,Germany,5,2,1,0,3,0,0,0,1,0,0,0,0,0,0
1934 FIFA World Cup Italy ™,3-1,Preliminary round,27 May 1934,Match 4,Brazil,Spain,3,1,1,0,4,0,0,0,1,0,0,0,0,0,0
1930 FIFA World Cup Uruguay ™,3-0,Group 4,13 Jul 1930,Match 2,Belgium,USA,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0
1930 FIFA World Cup Uruguay ™,2-1,Group 2,14 Jul 1930,Match 3,Brazil,Yugoslavia,2,1,1,0,3,0,0,0,1,0,0,0,0,0,0
1930 FIFA World Cup Uruguay ™,3-1,Group 3,14 Jul 1930,Match 4,Peru,Romania,3,1,1,0,4,0,0,0,1,0,0,0,0,0,0
1930 FIFA World Cup Uruguay ™,1-0,Group 1,15 Jul 1930,Match 5,France,Argentina,1,0,1,0,5,0,1,0,1,0,0,0,4,0,4
1966 FIFA World Cup England ™,1-0,Group 4,19 Jul 1966,Match 20,Italy,Korea DPR,1,0,1,0,20,0,1,0,1,1,1,1,2,1,0
1966 FIFA World Cup England ™,2-0,Group 1,20 Jul 1966,Match 21,France,England,2,0,1,0,21,1,0,0,1,0,1,2,2,0,2
1966 FIFA World Cup England ™,3-1,Group 3,20 Jul 1966,Match 23,Bulgaria,Hungary,3,1,1,0,23,1,0,0,1,1,2,4,0,4,0
1966 FIFA World Cup England ™,2-1,Group 2,20 Jul 1966,Match 22,Spain,Germany FR,2,1,1,0,22,1,1,0,1,0,1,5,3,0,3
1966 FIFA World Cup England ™,2-1,Group 4,20 Jul 1966,Match 24,Chile,Soviet Union,2,1,1,0,24,2,0,0,1,0,1,4,1,0,1
1938 FIFA World Cup France ™,3-0,First round,05 Jun 1938,Match 7,Netherlands,Czechoslovakia,3,0,1,0,7,0,0,0,1,0,0,0,0,0,0
1938 FIFA World Cup France ™,2-1,First round,09 Jun 1938,Match 8,Romania,Cuba,2,1,1,0,8,0,0,0,1,0,0,3,3,3,3
1938 FIFA World Cup France ™,4-2,First round,09 Jun 1938,Match 9,Germany,Switzerland,4,2,1,0,9,0,0,0,1,0,0,1,1,1,1
1938 FIFA World Cup France ™,1-1,Quarter-finals,12 Jun 1938,Match 10,Czechoslovakia,Brazil,1,1,0,0,10,1,1,0,0,0,0,6,3,6,0
2006 FIFA World Cup Germany ™,0-2,Semi-finals,04 Jul 2006,Match 61,Italy,Germany,0,2,0,1,61,4,4,1,0,0,0,11,9,5,1
2006 FIFA World Cup Germany ™,0-1,Semi-finals,05 Jul 2006,Match 62,France,Portugal,0,1,0,1,62,4,3,1,0,0,0,6,7,2,4
2006 FIFA World Cup Germany ™,3-1,Third place,08 Jul 2006,Match 63,Portugal,Germany,3,1,1,0,63,4,4,0,1,1,1,11,6,5,2
2006 FIFA World Cup Germany ™,1-1,Final,09 Jul 2006,Match 64,France,Italy,1,1,0,0,64,5,4,0,0,0,0,11,8,1,4
1962 FIFA World Cup Chile ™,3-1,Group 3,07 Jun 1962,Match 23,Czechoslovakia,Mexico,3,1,1,0,23,0,1,0,1,2,0,0,1,0,0
1962 FIFA World Cup Chile ™,0-0,Group 4,07 Jun 1962,Match 24,Bulgaria,England,0,0,0,0,24,1,0,0,0,1,2,4,1,4,1
1962 FIFA World Cup Chile ™,3-0,Group 2,07 Jun 1962,Match 22,Switzerland,Italy,3,0,1,0,22,0,0,0,1,1,2,0,2,0,2
1962 FIFA World Cup Chile ™,2-1,Quarter-finals,10 Jun 1962,Match 25,Soviet Union,Chile,2,1,1,0,25,2,2,0,1,1,0,5,8,3,6
1962 FIFA World Cup Chile ™,3-1,Quarter-finals,10 Jun 1962,Match 27,England,Brazil,3,1,1,0,27,2,1,0,1,0,1,4,4,2,4
1958 FIFA World Cup Sweden ™,1-0,Group 4,17 Jun 1958,Match 37,England,Soviet Union,1,0,1,0,37,1,0,0,1,2,0,4,4,2,4
1958 FIFA World Cup Sweden ™,2-1,Group 1,17 Jun 1958,Match 39,Czechoslovakia,Northern Ireland,2,1,1,0,39,1,1,0,1,2,1,4,8,3,8
1958 FIFA World Cup Sweden ™,2-1,Group 3,17 Jun 1958,Match 33,Hungary,Wales,2,1,1,0,33,0,1,0,1,1,1,2,6,2,2
1958 FIFA World Cup Sweden ™,1-0,Quarter-finals,19 Jun 1958,Match 27,Wales,Brazil,1,0,1,0,27,2,0,0,1,0,0,5,2,0,2
1958 FIFA World Cup Sweden ™,1-0,Quarter-finals,19 Jun 1958,Match 28,Yugoslavia,Germany FR,1,0,1,0,28,1,1,0,1,0,0,7,7,7,7
2002 FIFA World Cup Korea/Japan ™,1-2,Quarter-finals,21 Jun 2002,Match 57,Brazil,England,1,2,0,1,57,2,4,1,0,0,0,5,13,1,7
2002 FIFA World Cup Korea/Japan ™,1-0,Quarter-finals,21 Jun 2002,Match 58,USA,Germany,1,0,1,0,58,3,2,0,1,0,1,12,7,1,5
2002 FIFA World Cup Korea/Japan ™,0-1,Quarter-finals,22 Jun 2002,Match 60,Turkey,Senegal,0,1,0,1,60,2,2,1,0,0,1,7,6,6,2
2002 FIFA World Cup Korea/Japan ™,0-0,Quarter-finals,22 Jun 2002,Match 59,Korea Republic,Spain,0,0,0,0,59,3,3,0,0,0,0,10,6,10,3
1986 FIFA World Cup Mexico ™,1-0,Round of 16,16 Jun 1986,Match 39,Uruguay,Argentina,1,0,1,0,39,2,0,0,1,0,1,6,2,4,2
1986 FIFA World Cup Mexico ™,4-0,Round of 16,16 Jun 1986,Match 40,Poland,Brazil,4,0,1,0,40,3,1,0,1,0,1,5,1,0,0
1986 FIFA World Cup Mexico ™,0-2,Round of 16,17 Jun 1986,Match 41,France,Italy,0,2,0,1,41,1,2,1,0,0,0,5,5,5,1
1986 FIFA World Cup Mexico ™,0-1,Round of 16,17 Jun 1986,Match 42,Germany FR,Morocco,0,1,0,1,42,1,1,1,0,0,1,3,3,3,3
1998 FIFA World Cup France ™,3-2,Quarter-finals,03 Jul 1998,Match 58,Denmark,Brazil,3,2,1,0,58,3,2,0,1,1,1,10,7,7,6
1998 FIFA World Cup France ™,2-1,Quarter-finals,04 Jul 1998,Match 60,Argentina,Netherlands,2,1,1,0,60,2,3,0,1,0,0,9,9,4,2
1998 FIFA World Cup France ™,0-3,Quarter-finals,04 Jul 1998,Match 59,Croatia,Germany,0,3,0,1,59,3,3,1,0,0,1,8,5,4,3
1998 FIFA World Cup France ™,1-1,Semi-finals,07 Jul 1998,Match 61,Netherlands,Brazil,1,1,0,0,61,4,3,0,0,1,0,13,11,10,6
1998 FIFA World Cup France ™,2-1,Semi-finals,08 Jul 1998,Match 62,Croatia,France,2,1,1,0,62,4,4,0,1,0,1,10,8,2,3
1970 FIFA World Cup Mexico ™,4-1,Quarter-finals,14 Jun 1970,Match 26,Mexico,Italy,4,1,1,0,26,1,2,0,1,0,0,1,5,0,0
1970 FIFA World Cup Mexico ™,3-2,Quarter-finals,14 Jun 1970,Match 28,England,Germany FR,3,2,1,0,28,3,2,0,1,0,1,10,2,10,0
1970 FIFA World Cup Mexico ™,4-2,Quarter-finals,14 Jun 1970,Match 27,Peru,Brazil,4,2,1,0,27,3,2,0,1,0,1,8,7,7,4
1970 FIFA World Cup Mexico ™,1-0,Quarter-finals,14 Jun 1970,Match 25,Soviet Union,Uruguay,1,0,1,0,25,1,2,0,1,1,0,2,6,0,4
1982 FIFA World Cup Spain ™,0-1,Group 5,24 Jun 1982,Match 33,Yugoslavia,Honduras,0,1,0,1,33,0,0,1,0,0,1,2,1,2,1
1982 FIFA World Cup Spain ™,1-0,Group 2,25 Jun 1982,Match 34,Austria,Germany FR,1,0,1,0,34,1,2,0,1,1,0,5,3,5,0
1982 FIFA World Cup Spain ™,1-0,Group 4,25 Jun 1982,Match 35,Kuwait,England,1,0,1,0,35,2,0,0,1,0,1,5,2,3,2
1982 FIFA World Cup Spain ™,1-0,Group 5,25 Jun 1982,Match 36,Spain,Northern Ireland,1,0,1,0,36,0,1,0,1,0,0,1,3,1,3
1954 FIFA World Cup Switzerland ™,3-2,Final,04 Jul 1954,Match 24,Hungary,Germany FR,3,2,1,0,24,4,4,0,1,1,0,22,25,20,16
