cup,result,group,date,matchnum,away,home
1974 FIFA World Cup Germany ™,0-1,Match for third place,06 Jul 1974,Match 37,Poland,Brazil
1950 FIFA World Cup Brazil ™,2-1,Group 1,02 Jul 1950,Match 14,Mexico,Switzerland
1950 FIFA World Cup Brazil ™,5-2,Group 2,02 Jul 1950,Match 15,USA,Chile
1950 FIFA World Cup Brazil ™,2-2,Group 6,09 Jul 1950,Match 17,Spain,Uruguay
1950 FIFA World Cup Brazil ™,7-1,Group 6,09 Jul 1950,Match 18,Sweden,Brazil
1950 FIFA World Cup Brazil ™,6-1,Group 6,13 Jul 1950,Match 19,Spain,Brazil
1934 FIFA World Cup Italy ™,1-1,Quarter-finals,31 May 1934,Match 11,Spain,Italy
1934 FIFA World Cup Italy ™,2-1,Quarter-finals,31 May 1934,Match 12,Hungary,Austria
1934 FIFA World Cup Italy ™,1-0,Quarter-finals,01 Jun 1934,Match 13,Spain,Italy
1934 FIFA World Cup Italy ™,1-0,Semi-finals,03 Jun 1934,Match 14,Austria,Italy
1934 FIFA World Cup Italy ™,3-1,Semi-finals,03 Jun 1934,Match 15,Germany,Czechoslovakia
1930 FIFA World Cup Uruguay ™,6-3,Group 1,19 Jul 1930,Match 11,Mexico,Argentina
1930 FIFA World Cup Uruguay ™,4-0,Group 2,20 Jul 1930,Match 12,Bolivia,Brazil
1930 FIFA World Cup Uruguay ™,1-0,Group 4,20 Jul 1930,Match 13,Belgium,Paraguay
1930 FIFA World Cup Uruguay ™,4-0,Group 3,21 Jul 1930,Match 14,Romania,Uruguay
1930 FIFA World Cup Uruguay ™,3-1,Group 1,22 Jul 1930,Match 15,Chile,Argentina
1966 FIFA World Cup England ™,2-1,Semi-finals,26 Jul 1966,Match 30,Portugal,England
1966 FIFA World Cup England ™,2-1,Match for third place,28 Jul 1966,Match 31,Soviet Union,Portugal
1966 FIFA World Cup England ™,4-2,Final,30 Jul 1966,Match 32,Germany FR,England
1938 FIFA World Cup France ™,5-1,Semi-finals,16 Jun 1938,Match 15,Sweden,Hungary
1938 FIFA World Cup France ™,2-1,Semi-finals,16 Jun 1938,Match 16,Brazil,Italy
1938 FIFA World Cup France ™,4-2,Match for third place,19 Jun 1938,Match 17,Sweden,Brazil
1938 FIFA World Cup France ™,4-2,Final,19 Jun 1938,Match 18,Hungary,Italy
1962 FIFA World Cup Chile ™,1-0,Match for third place,16 Jun 1962,Match 31,Yugoslavia,Chile
1962 FIFA World Cup Chile ™,3-1,Final,17 Jun 1962,Match 32,Czechoslovakia,Brazil
1958 FIFA World Cup Sweden ™,5-2,Final,29 Jun 1958,Match 32,Sweden,Brazil
1986 FIFA World Cup Mexico ™,1-1,Quarter-finals,22 Jun 1986,Match 47,Belgium,Spain
1986 FIFA World Cup Mexico ™,2-1,Quarter-finals,22 Jun 1986,Match 48,England,Argentina
1986 FIFA World Cup Mexico ™,0-2,Semi-finals,25 Jun 1986,Match 50,Germany FR,France
1986 FIFA World Cup Mexico ™,2-0,Semi-finals,25 Jun 1986,Match 49,Belgium,Argentina
1986 FIFA World Cup Mexico ™,4-2,Match for third place,28 Jun 1986,Match 51,Belgium,France
1982 FIFA World Cup Spain ™,0-1,Group 1,01 Jul 1982,Match 42,Soviet Union,Belgium
1982 FIFA World Cup Spain ™,1-3,Group 3,02 Jul 1982,Match 43,Brazil,Argentina
1982 FIFA World Cup Spain ™,2-1,Group 2,02 Jul 1982,Match 44,Spain,Germany FR
1982 FIFA World Cup Spain ™,4-1,Group 4,04 Jul 1982,Match 45,Northern Ireland,France
1982 FIFA World Cup Spain ™,0-0,Group 1,04 Jul 1982,Match 46,Soviet Union,Poland
1974 FIFA World Cup Germany ™,1-2,Final,07 Jul 1974,Match 38,Germany FR,Netherlands
1950 FIFA World Cup Brazil ™,3-2,Group 6,13 Jul 1950,Match 20,Sweden,Uruguay
1950 FIFA World Cup Brazil ™,3-1,Group 6,16 Jul 1950,Match 21,Spain,Sweden
1950 FIFA World Cup Brazil ™,2-1,Group 6,16 Jul 1950,Match 22,Brazil,Uruguay
1934 FIFA World Cup Italy ™,3-2,Match for third place,07 Jun 1934,Match 16,Austria,Germany
1934 FIFA World Cup Italy ™,2-1,Final,10 Jun 1934,Match 17,Czechoslovakia,Italy
1930 FIFA World Cup Uruguay ™,6-1,Semi-finals,26 Jul 1930,Match 16,USA,Argentina
1930 FIFA World Cup Uruguay ™,6-1,Semi-finals,27 Jul 1930,Match 17,Yugoslavia,Uruguay
1930 FIFA World Cup Uruguay ™,4-2,Final,30 Jul 1930,Match 18,Argentina,Uruguay
1986 FIFA World Cup Mexico ™,3-2,Final,29 Jun 1986,Match 52,Germany FR,Argentina
1982 FIFA World Cup Spain ™,3-2,Group 3,05 Jul 1982,Match 47,Brazil,Italy
1982 FIFA World Cup Spain ™,0-0,Group 2,05 Jul 1982,Match 48,England,Spain
1982 FIFA World Cup Spain ™,0-2,Semi-finals,08 Jul 1982,Match 49,Italy,Poland
1982 FIFA World Cup Spain ™,3-3,Semi-finals,08 Jul 1982,Match 50,France,Germany FR
1982 FIFA World Cup Spain ™,3-2,Match for third place,10 Jul 1982,Match 51,France,Poland
1982 FIFA World Cup Spain ™,3-1,Final,11 Jul 1982,Match 52,Germany FR,Italy
