cup,result,group,date,matchnum,away,home
1978 FIFA World Cup Argentina ™,3-0,Group 4,03 Jun 1978,Match 8,IR Iran,Netherlands
1978 FIFA World Cup Argentina ™,3-1,Group 1,06 Jun 1978,Match 10,Hungary,Italy
1978 FIFA World Cup Argentina ™,1-0,Group 2,06 Jun 1978,Match 11,Tunisia,Poland
2006 FIFA World Cup Germany ™,0-2,Group A,09 Jun 2006,Match 2,Ecuador,Poland
2006 FIFA World Cup Germany ™,1-0,Group B,10 Jun 2006,Match 3,Paraguay,England
2006 FIFA World Cup Germany ™,0-0,Group B,10 Jun 2006,Match 4,Sweden,Trinidad and Tobago
2006 FIFA World Cup Germany ™,2-1,Group C,10 Jun 2006,Match 5,Côte d'Ivoire,Argentina
2006 FIFA World Cup Germany ™,0-1,Group C,11 Jun 2006,Match 6,Netherlands,Serbia and Montenegro
1990 FIFA World Cup Italy ™,1-0,Group A,14 Jun 1990,Match 15,USA,Italy
1990 FIFA World Cup Italy ™,0-1,Group A,15 Jun 1990,Match 17,Czechoslovakia,Austria
1990 FIFA World Cup Italy ™,5-1,Group D,15 Jun 1990,Match 18,United Arab Emirates,Germany FR
1990 FIFA World Cup Italy ™,1-0,Group C,16 Jun 1990,Match 19,Costa Rica,Brazil
2002 FIFA World Cup Korea/Japan ™,1-2,Group A,01 Jun 2002,Match 3,Denmark,Uruguay
2002 FIFA World Cup Korea/Japan ™,1-1,Group E,01 Jun 2002,Match 2,Cameroon,Republic of Ireland
2002 FIFA World Cup Korea/Japan ™,8-0,Group E,01 Jun 2002,Match 4,Saudi Arabia,Germany
2002 FIFA World Cup Korea/Japan ™,1-0,Group F,02 Jun 2002,Match 7,Nigeria,Argentina
1994 FIFA World Cup USA ™,3-0,Group D,21 Jun 1994,Match 13,Bulgaria,Nigeria
1994 FIFA World Cup USA ™,1-1,Group C,21 Jun 1994,Match 12,Spain,Germany
1994 FIFA World Cup USA ™,1-4,Group A,22 Jun 1994,Match 14,Switzerland,Romania
1994 FIFA World Cup USA ™,2-1,Group A,22 Jun 1994,Match 15,Colombia,USA
1994 FIFA World Cup USA ™,1-0,Group E,23 Jun 1994,Match 16,Norway,Italy
1998 FIFA World Cup France ™,2-1,Group A,10 Jun 1998,Match 1,Scotland,Brazil
1978 FIFA World Cup Argentina ™,6-0,Group 2,06 Jun 1978,Match 12,Mexico,Germany FR
1978 FIFA World Cup Argentina ™,2-1,Group 1,06 Jun 1978,Match 9,France,Argentina
1978 FIFA World Cup Argentina ™,0-0,Group 3,07 Jun 1978,Match 14,Spain,Brazil
1978 FIFA World Cup Argentina ™,1-0,Group 3,07 Jun 1978,Match 13,Sweden,Austria
1978 FIFA World Cup Argentina ™,1-1,Group 4,07 Jun 1978,Match 15,IR Iran,Scotland
2006 FIFA World Cup Germany ™,3-1,Group D,11 Jun 2006,Match 7,IR Iran,Mexico
2006 FIFA World Cup Germany ™,0-1,Group D,11 Jun 2006,Match 8,Portugal,Angola
2006 FIFA World Cup Germany ™,3-1,Group F,12 Jun 2006,Match 12,Japan,Australia
2006 FIFA World Cup Germany ™,0-3,Group E,12 Jun 2006,Match 10,Czech Republic,USA
2006 FIFA World Cup Germany ™,2-0,Group E,12 Jun 2006,Match 9,Ghana,Italy
1990 FIFA World Cup Italy ™,1-2,Group C,16 Jun 1990,Match 20,Scotland,Sweden
1990 FIFA World Cup Italy ™,0-0,Group F,16 Jun 1990,Match 21,Netherlands,England
1990 FIFA World Cup Italy ™,0-0,Group F,17 Jun 1990,Match 22,Egypt,Republic of Ireland
1990 FIFA World Cup Italy ™,1-3,Group E,17 Jun 1990,Match 24,Spain,Korea Republic
1990 FIFA World Cup Italy ™,3-1,Group E,17 Jun 1990,Match 23,Uruguay,Belgium
2002 FIFA World Cup Korea/Japan ™,2-2,Group B,02 Jun 2002,Match 6,South Africa,Paraguay
2002 FIFA World Cup Korea/Japan ™,1-1,Group F,02 Jun 2002,Match 5,Sweden,England
2002 FIFA World Cup Korea/Japan ™,3-1,Group B,02 Jun 2002,Match 8,Slovenia,Spain
2002 FIFA World Cup Korea/Japan ™,2-1,Group C,03 Jun 2002,Match 10,Turkey,Brazil
1994 FIFA World Cup USA ™,0-0,Group C,23 Jun 1994,Match 17,Bolivia,Korea Republic
1994 FIFA World Cup USA ™,2-1,Group E,24 Jun 1994,Match 18,Republic of Ireland,Mexico
1994 FIFA World Cup USA ™,3-1,Group B,24 Jun 1994,Match 20,Russia,Sweden
1994 FIFA World Cup USA ™,3-0,Group B,24 Jun 1994,Match 19,Cameroon,Brazil
1998 FIFA World Cup France ™,2-2,Group A,10 Jun 1998,Match 2,Norway,Morocco
1998 FIFA World Cup France ™,2-2,Group B,11 Jun 1998,Match 4,Chile,Italy
1998 FIFA World Cup France ™,1-1,Group B,11 Jun 1998,Match 3,Austria,Cameroon
1998 FIFA World Cup France ™,0-0,Group D,12 Jun 1998,Match 7,Bulgaria,Paraguay
1978 FIFA World Cup Argentina ™,0-0,Group 4,07 Jun 1978,Match 16,Peru,Netherlands
1978 FIFA World Cup Argentina ™,3-1,Group 1,10 Jun 1978,Match 18,Hungary,France
1978 FIFA World Cup Argentina ™,3-1,Group 2,10 Jun 1978,Match 19,Mexico,Poland
1978 FIFA World Cup Argentina ™,0-0,Group 2,10 Jun 1978,Match 20,Tunisia,Germany FR
2006 FIFA World Cup Germany ™,2-1,Group G,13 Jun 2006,Match 14,Togo,Korea Republic
2006 FIFA World Cup Germany ™,0-0,Group G,13 Jun 2006,Match 13,Switzerland,France
2006 FIFA World Cup Germany ™,1-0,Group F,13 Jun 2006,Match 11,Croatia,Brazil
2006 FIFA World Cup Germany ™,4-0,Group H,14 Jun 2006,Match 15,Ukraine,Spain
2006 FIFA World Cup Germany ™,2-2,Group H,14 Jun 2006,Match 16,Saudi Arabia,Tunisia
1990 FIFA World Cup Italy ™,1-1,Group B,18 Jun 1990,Match 25,Romania,Argentina
1990 FIFA World Cup Italy ™,0-4,Group B,18 Jun 1990,Match 26,Soviet Union,Cameroon
1990 FIFA World Cup Italy ™,1-1,Group D,19 Jun 1990,Match 27,Colombia,Germany FR
1990 FIFA World Cup Italy ™,4-1,Group D,19 Jun 1990,Match 28,United Arab Emirates,Yugoslavia
2002 FIFA World Cup Korea/Japan ™,2-0,Group G,03 Jun 2002,Match 11,Ecuador,Italy
2002 FIFA World Cup Korea/Japan ™,0-1,Group G,03 Jun 2002,Match 9,Mexico,Croatia
2002 FIFA World Cup Korea/Japan ™,0-2,Group C,04 Jun 2002,Match 12,Costa Rica,China PR
2002 FIFA World Cup Korea/Japan ™,2-2,Group H,04 June 2002,Match 13,Belgium,Japan
2002 FIFA World Cup Korea/Japan ™,2-0,Group D,04 Jun 2002,Match 14,Poland,Korea Republic
1994 FIFA World Cup USA ™,1-0,Group F,25 Jun 1994,Match 21,Netherlands,Belgium
1994 FIFA World Cup USA ™,2-1,Group F,25 Jun 1994,Match 22,Morocco,Saudi Arabia
1994 FIFA World Cup USA ™,2-1,Group D,25 Jun 1994,Match 23,Nigeria,Argentina
1994 FIFA World Cup USA ™,4-0,Group D,26 Jun 1994,Match 24,Greece,Bulgaria
1998 FIFA World Cup France ™,0-1,Group C,12 Jun 1998,Match 5,Denmark,Saudi Arabia
1998 FIFA World Cup France ™,3-0,Group C,12 Jun 1998,Match 6,South Africa,France
1998 FIFA World Cup France ™,2-3,Group D,13 Jun 1998,Match 10,Nigeria,Spain
1998 FIFA World Cup France ™,1-3,Group E,13 Jun 1998,Match 9,Mexico,Korea Republic
1998 FIFA World Cup France ™,0-0,Group E,13 Jun 1998,Match 8,Belgium,Netherlands
1978 FIFA World Cup Argentina ™,1-0,Group 1,10 Jun 1978,Match 17,Argentina,Italy
1978 FIFA World Cup Argentina ™,1-0,Group 3,11 Jun 1978,Match 22,Austria,Brazil
1978 FIFA World Cup Argentina ™,1-0,Group 3,11 Jun 1978,Match 21,Sweden,Spain
1978 FIFA World Cup Argentina ™,4-1,Group 4,11 Jun 1978,Match 23,IR Iran,Peru
2006 FIFA World Cup Germany ™,1-0,Group A,14 Jun 2006,Match 17,Poland,Germany
2006 FIFA World Cup Germany ™,3-0,Group A,15 Jun 2006,Match 18,Costa Rica,Ecuador
2006 FIFA World Cup Germany ™,2-0,Group B,15 Jun 2006,Match 19,Trinidad and Tobago,England
2006 FIFA World Cup Germany ™,1-0,Group B,15 Jun 2006,Match 20,Paraguay,Sweden
2006 FIFA World Cup Germany ™,6-0,Group C,16 Jun 2006,Match 21,Serbia and Montenegro,Argentina
1990 FIFA World Cup Italy ™,2-0,Group A,19 Jun 1990,Match 29,Czechoslovakia,Italy
1990 FIFA World Cup Italy ™,2-1,Group A,19 Jun 1990,Match 30,USA,Austria
1990 FIFA World Cup Italy ™,1-0,Group C,20 Jun 1990,Match 31,Scotland,Brazil
1990 FIFA World Cup Italy ™,1-2,Group C,20 Jun 1990,Match 32,Costa Rica,Sweden
1990 FIFA World Cup Italy ™,0-1,Group E,21 Jun 1990,Match 34,Uruguay,Korea Republic
2002 FIFA World Cup Korea/Japan ™,2-0,Group H,05 Jun 2002,Match 15,Tunisia,Russia
2002 FIFA World Cup Korea/Japan ™,3-2,Group D,05 Jun 2002,Match 16,Portugal,USA
2002 FIFA World Cup Korea/Japan ™,1-1,Group E,05 Jun 2002,Match 17,Republic of Ireland,Germany
2002 FIFA World Cup Korea/Japan ™,1-1,Group A,06 Jun 2002,Match 20,Senegal,Denmark
1994 FIFA World Cup USA ™,0-1,Group A,26 Jun 1994,Match 25,Romania,USA
1994 FIFA World Cup USA ™,0-2,Group A,26 Jun 1994,Match 26,Colombia,Switzerland
1994 FIFA World Cup USA ™,3-2,Group C,27 Jun 1994,Match 28,Korea Republic,Germany
1994 FIFA World Cup USA ™,1-3,Group C,27 Jun 1994,Match 27,Spain,Bolivia
1994 FIFA World Cup USA ™,0-0,Group E,28 Jun 1994,Match 29,Norway,Republic of Ireland
1998 FIFA World Cup France ™,1-0,Group H,14 Jun 1998,Match 13,Japan,Argentina
1998 FIFA World Cup France ™,1-0,Group F,14 Jun 1998,Match 12,Iran,Yugoslavia
1998 FIFA World Cup France ™,1-3,Group H,14 Jun 1998,Match 11,Croatia,Jamaica
1998 FIFA World Cup France ™,2-0,Group G,15 Jun 1998,Match 16,Tunisia,England
1978 FIFA World Cup Argentina ™,3-2,Group 4,11 Jun 1978,Match 24,Netherlands,Scotland
1978 FIFA World Cup Argentina ™,0-0,Group A,14 Jun 1978,Match 25,Italy,Germany FR
1978 FIFA World Cup Argentina ™,5-1,Group A,14 Jun 1978,Match 27,Austria,Netherlands
1978 FIFA World Cup Argentina ™,3-0,Group B,14 Jun 1978,Match 28,Peru,Brazil
2006 FIFA World Cup Germany ™,2-1,Group C,16 Jun 2006,Match 22,Côte d'Ivoire,Netherlands
2006 FIFA World Cup Germany ™,0-0,Group D,16 Jun 2006,Match 23,Angola,Mexico
2006 FIFA World Cup Germany ™,2-0,Group D,17 Jun 2006,Match 24,IR Iran,Portugal
2006 FIFA World Cup Germany ™,0-2,Group E,17 Jun 2006,Match 26,Ghana,Czech Republic
2006 FIFA World Cup Germany ™,1-1,Group E,17 Jun 2006,Match 25,USA,Italy
1990 FIFA World Cup Italy ™,1-2,Group E,21 Jun 1990,Match 33,Spain,Belgium
1990 FIFA World Cup Italy ™,1-1,Group F,21 Jun 1990,Match 36,Netherlands,Republic of Ireland
1990 FIFA World Cup Italy ™,1-0,Group F,21 Jun 1990,Match 35,Egypt,England
1990 FIFA World Cup Italy ™,2-1,Round of 16,23 Jun 1990,Match 37,Colombia,Cameroon
1990 FIFA World Cup Italy ™,4-1,Round of 16,23 Jun 1990,Match 38,Costa Rica,Czechoslovakia
2002 FIFA World Cup Korea/Japan ™,1-0,Group E,06 Jun 2002,Match 19,Saudi Arabia,Cameroon
2002 FIFA World Cup Korea/Japan ™,0-0,Group A,06 Jun 2002,Match 18,Uruguay,France
2002 FIFA World Cup Korea/Japan ™,2-1,Group F,07 Jun 2002,Match 21,Nigeria,Sweden
2002 FIFA World Cup Korea/Japan ™,0-1,Group F,07 Jun 2002,Match 23,England,Argentina
1994 FIFA World Cup USA ™,1-1,Group B,28 Jun 1994,Match 32,Sweden,Brazil
1994 FIFA World Cup USA ™,1-1,Group E,28 Jun 1994,Match 30,Mexico,Italy
1994 FIFA World Cup USA ™,6-1,Group B,28 Jun 1994,Match 31,Cameroon,Russia
1994 FIFA World Cup USA ™,1-2,Group F,29 Jun 1994,Match 33,Netherlands,Morocco
1994 FIFA World Cup USA ™,0-1,Group F,29 Jun 1994,Match 34,Saudi Arabia,Belgium
1986 FIFA World Cup Mexico ™,1-1,Group A,31 May 1986,Match 1,Italy,Bulgaria
1998 FIFA World Cup France ™,1-0,Group G,15 Jun 1998,Match 15,Colombia,Romania
1998 FIFA World Cup France ™,2-0,Group F,15 Jun 1998,Match 14,USA,Germany
1998 FIFA World Cup France ™,1-1,Group A,16 Jun 1998,Match 17,Norway,Scotland
1998 FIFA World Cup France ™,3-0,Group A,16 Jun 1998,Match 18,Morocco,Brazil
1998 FIFA World Cup France ™,1-1,Group B,17 Jun 1998,Match 19,Austria,Chile
1978 FIFA World Cup Argentina ™,2-0,Group B,14 Jun 1978,Match 26,Poland,Argentina
1978 FIFA World Cup Argentina ™,1-0,Group B,18 Jun 1978,Match 32,Peru,Poland
1978 FIFA World Cup Argentina ™,1-0,Group A,18 Jun 1978,Match 29,Austria,Italy
1978 FIFA World Cup Argentina ™,2-2,Group A,18 Jun 1978,Match 31,Netherlands,Germany FR
1978 FIFA World Cup Argentina ™,0-0,Group B,18 Jun 1978,Match 30,Brazil,Argentina
2006 FIFA World Cup Germany ™,0-0,Group F,18 Jun 2006,Match 28,Croatia,Japan
2006 FIFA World Cup Germany ™,2-0,Group F,18 Jun 2006,Match 27,Australia,Brazil
2006 FIFA World Cup Germany ™,1-1,Group G,18 Jun 2006,Match 29,Korea Republic,France
2006 FIFA World Cup Germany ™,0-2,Group G,19 Jun 2006,Match 30,Switzerland,Togo
1990 FIFA World Cup Italy ™,0-1,Round of 16,24 Jun 1990,Match 39,Argentina,Brazil
1990 FIFA World Cup Italy ™,2-1,Round of 16,24 Jun 1990,Match 40,Netherlands,Germany FR
1990 FIFA World Cup Italy ™,0-0,Round of 16,25 Jun 1990,Match 41,Romania,Republic of Ireland
1990 FIFA World Cup Italy ™,2-0,Round of 16,25 Jun 1990,Match 42,Uruguay,Italy
2002 FIFA World Cup Korea/Japan ™,3-1,Group B,07 Jun 2002,Match 22,Paraguay,Spain
2002 FIFA World Cup Korea/Japan ™,1-0,Group B,08 Jun 2002,Match 24,Slovenia,South Africa
2002 FIFA World Cup Korea/Japan ™,4-0,Group C,08 Jun 2002,Match 26,China PR,Brazil
2002 FIFA World Cup Korea/Japan ™,1-2,Group G,08 Jun 2002,Match 25,Croatia,Italy
1994 FIFA World Cup USA ™,0-2,Group D,30 Jun 1994,Match 35,Nigeria,Greece
1994 FIFA World Cup USA ™,0-2,Group D,30 Jun 1994,Match 36,Bulgaria,Argentina
1994 FIFA World Cup USA ™,3-2,Round of 16,02 Jul 1994,Match 37,Belgium,Germany
1994 FIFA World Cup USA ™,3-0,Round of 16,02 Jul 1994,Match 38,Switzerland,Spain
1986 FIFA World Cup Mexico ™,0-1,Group C,01 Jun 1986,Match 2,France,Canada
1986 FIFA World Cup Mexico ™,0-1,Group D,01 Jun 1986,Match 3,Brazil,Spain
1986 FIFA World Cup Mexico ™,6-0,Group C,02 Jun 1986,Match 5,Hungary,Soviet Union
1986 FIFA World Cup Mexico ™,3-1,Group A,02 Jun 1986,Match 4,Korea Republic,Argentina
1986 FIFA World Cup Mexico ™,0-0,Group F,02 Jun 1986,Match 6,Poland,Morocco
1998 FIFA World Cup France ™,3-0,Group B,17 Jun 1998,Match 20,Cameroon,Italy
1998 FIFA World Cup France ™,1-1,Group C,18 Jun 1998,Match 22,Denmark,South Africa
1998 FIFA World Cup France ™,4-0,Group C,18 Jun 1998,Match 21,Saudi Arabia,France
1998 FIFA World Cup France ™,1-0,Group D,19 Jun 1998,Match 23,Bulgaria,Nigeria
1982 FIFA World Cup Spain ™,0-1,Group 3,13 Jun 1982,Match 1,Belgium,Argentina
1978 FIFA World Cup Argentina ™,2-1,Group A,21 Jun 1978,Match 33,Italy,Netherlands
1978 FIFA World Cup Argentina ™,3-2,Group A,21 Jun 1978,Match 35,Germany FR,Austria
1978 FIFA World Cup Argentina ™,3-1,Group B,21 Jun 1978,Match 36,Poland,Brazil
1978 FIFA World Cup Argentina ™,6-0,Group B,21 Jun 1978,Match 34,Peru,Argentina
2006 FIFA World Cup Germany ™,0-4,Group H,19 Jun 2006,Match 32,Ukraine,Saudi Arabia
2006 FIFA World Cup Germany ™,3-1,Group H,19 Jun 2006,Match 31,Tunisia,Spain
2006 FIFA World Cup Germany ™,0-3,Group A,20 Jun 2006,Match 33,Germany,Ecuador
2006 FIFA World Cup Germany ™,1-2,Group A,20 Jun 2006,Match 34,Poland,Costa Rica
1990 FIFA World Cup Italy ™,1-2,Round of 16,26 Jun 1990,Match 43,Yugoslavia,Spain
1990 FIFA World Cup Italy ™,1-0,Round of 16,26 Jun 1990,Match 44,Belgium,England
1990 FIFA World Cup Italy ™,0-0,Quarter-finals,30 Jun 1990,Match 45,Argentina,Yugoslavia
1990 FIFA World Cup Italy ™,1-0,Quarter-finals,30 Jun 1990,Match 46,Republic of Ireland,Italy
1990 FIFA World Cup Italy ™,1-0,Quarter-finals,01 Jul 1990,Match 47,Czechoslovakia,Germany FR
2002 FIFA World Cup Korea/Japan ™,1-1,Group C,09 Jun 2002,Match 28,Turkey,Costa Rica
2002 FIFA World Cup Korea/Japan ™,1-0,Group H,09 Jun 2002,Match 29,Russia,Japan
2002 FIFA World Cup Korea/Japan ™,2-1,Group G,09 Jun 2002,Match 27,Ecuador,Mexico
2002 FIFA World Cup Korea/Japan ™,1-1,Group D,10 Jun 2002,Match 30,USA,Korea Republic
1994 FIFA World Cup USA ™,1-3,Round of 16,03 Jul 1994,Match 39,Sweden,Saudi Arabia
1994 FIFA World Cup USA ™,3-2,Round of 16,03 Jul 1994,Match 40,Argentina,Romania
1994 FIFA World Cup USA ™,2-0,Round of 16,04 Jul 1994,Match 41,Republic of Ireland,Netherlands
1994 FIFA World Cup USA ™,1-0,Round of 16,04 Jul 1994,Match 42,USA,Brazil
1986 FIFA World Cup Mexico ™,1-1,Group D,03 Jun 1986,Match 8,Northern Ireland,Algeria
1986 FIFA World Cup Mexico ™,1-2,Group B,03 Jun 1986,Match 7,Mexico,Belgium
1986 FIFA World Cup Mexico ™,1-0,Group F,03 Jun 1986,Match 9,England,Portugal
1986 FIFA World Cup Mexico ™,1-0,Group B,04 Jun 1986,Match 10,Iraq,Paraguay
1986 FIFA World Cup Mexico ™,0-1,Group E,04 Jun 1986,Match 12,Denmark,Scotland
1998 FIFA World Cup France ™,0-0,Group D,19 Jun 1998,Match 24,Paraguay,Spain
1998 FIFA World Cup France ™,0-1,Group H,20 Jun 1998,Match 27,Croatia,Japan
1998 FIFA World Cup France ™,2-2,Group E,20 Jun 1998,Match 26,Mexico,Belgium
1998 FIFA World Cup France ™,5-0,Group E,20 Jun 1998,Match 25,Korea Republic,Netherlands
1998 FIFA World Cup France ™,2-2,Group F,21 Jun 1998,Match 29,Yugoslavia,Germany
1982 FIFA World Cup Spain ™,0-0,Group 1,14 Jun 1982,Match 2,Poland,Italy
1982 FIFA World Cup Spain ™,2-1,Group 6,14 Jun 1982,Match 3,Soviet Union,Brazil
1982 FIFA World Cup Spain ™,0-0,Group 1,15 Jun 1982,Match 4,Cameroon,Peru
1982 FIFA World Cup Spain ™,10-1,Group 3,15 Jun 1982,Match 5,El Salvador,Hungary
1978 FIFA World Cup Argentina ™,2-1,Match for third place,24 Jun 1978,Match 37,Italy,Brazil
1978 FIFA World Cup Argentina ™,3-1,Final,25 Jun 1978,Match 38,Netherlands,Argentina
1974 FIFA World Cup Germany ™,0-0,Group 2,13 Jun 1974,Match 3,Yugoslavia,Brazil
2006 FIFA World Cup Germany ™,2-2,Group B,20 Jun 2006,Match 35,England,Sweden
2006 FIFA World Cup Germany ™,2-0,Group B,20 Jun 2006,Match 36,Trinidad and Tobago,Paraguay
2006 FIFA World Cup Germany ™,1-1,Group D,21 Jun 2006,Match 40,Angola,Iran
2006 FIFA World Cup Germany ™,2-1,Group D,21 Jun 2006,Match 39,Mexico,Portugal
1958 FIFA World Cup Sweden ™,3-0,Group 3,08 Jun 1958,Match 1,Mexico,Sweden
1990 FIFA World Cup Italy ™,3-2,Quarter-finals,01 Jul 1990,Match 48,Cameroon,England
1990 FIFA World Cup Italy ™,1-1,Semi-finals,03 Jul 1990,Match 49,Argentina,Italy
1990 FIFA World Cup Italy ™,1-1,Semi-finals,04 Jul 1990,Match 50,England,Germany FR
1990 FIFA World Cup Italy ™,2-1,Match for third place,07 Jul 1990,Match 51,England,Italy
2002 FIFA World Cup Korea/Japan ™,4-0,Group D,10 Jun 2002,Match 32,Poland,Portugal
2002 FIFA World Cup Korea/Japan ™,1-1,Group H,10 Jun 2002,Match 31,Belgium,Tunisia
2002 FIFA World Cup Korea/Japan ™,2-0,Group A,11 Jun 2002,Match 33,France,Denmark
2002 FIFA World Cup Korea/Japan ™,3-3,Group A,11 Jun 2002,Match 34,Uruguay,Senegal
1994 FIFA World Cup USA ™,1-2,Round of 16,05 Jul 1994,Match 43,Italy,Nigeria
1994 FIFA World Cup USA ™,1-1,Round of 16,05 Jul 1994,Match 44,Bulgaria,Mexico
1994 FIFA World Cup USA ™,2-1,Quarter-finals,09 Jul 1994,Match 45,Spain,Italy
1994 FIFA World Cup USA ™,2-3,Quarter-finals,09 Jul 1994,Match 46,Brazil,Netherlands
1994 FIFA World Cup USA ™,2-1,Quarter-finals,10 Jul 1994,Match 47,Germany,Bulgaria
1986 FIFA World Cup Mexico ™,1-1,Group E,04 Jun 1986,Match 11,Germany FR,Uruguay
1986 FIFA World Cup Mexico ™,1-1,Group A,05 Jun 1986,Match 13,Argentina,Italy
1986 FIFA World Cup Mexico ™,1-1,Group C,05 Jun 1986,Match 15,Soviet Union,France
1986 FIFA World Cup Mexico ™,1-1,Group A,05 Jun 1986,Match 14,Bulgaria,Korea Republic
1998 FIFA World Cup France ™,5-0,Group H,21 Jun 1998,Match 28,Jamaica,Argentina
1998 FIFA World Cup France ™,1-2,Group F,21 Jun 1998,Match 30,Iran,USA
1998 FIFA World Cup France ™,1-0,Group G,22 Jun 1998,Match 31,Tunisia,Colombia
1998 FIFA World Cup France ™,2-1,Group G,22 Jun 1998,Match 32,England,Romania
1998 FIFA World Cup France ™,2-1,Group B,23 Jun 1998,Match 33,Austria,Italy
1970 FIFA World Cup Mexico ™,0-0,Group 1,31 May 1970,Match 1,Soviet Union,Mexico
1982 FIFA World Cup Spain ™,5-2,Group 6,15 Jun 1982,Match 6,New Zealand,Scotland
1982 FIFA World Cup Spain ™,1-2,Group 2,16 Jun 1982,Match 7,Algeria,Germany FR
1982 FIFA World Cup Spain ™,3-1,Group 4,16 Jun 1982,Match 8,France,England
1982 FIFA World Cup Spain ™,1-1,Group 5,16 Jun 1982,Match 9,Honduras,Spain
1982 FIFA World Cup Spain ™,0-1,Group 2,17 Jun 1982,Match 10,Austria,Chile
1954 FIFA World Cup Switzerland ™,2-0,Group 3,16 Jun 1954,Match 1,Czechoslovakia,Uruguay
1974 FIFA World Cup Germany ™,1-0,Group 1,14 Jun 1974,Match 1,Chile,Germany FR
1974 FIFA World Cup Germany ™,2-0,Group 1,14 Jun 1974,Match 2,Australia,German DR
1974 FIFA World Cup Germany ™,0-2,Group 2,14 Jun 1974,Match 4,Scotland,Zaire
1974 FIFA World Cup Germany ™,0-2,Group 3,15 Jun 1974,Match 5,Netherlands,Uruguay
1966 FIFA World Cup England ™,0-0,Group 1,11 Jul 1966,Match 1,Uruguay,England
2006 FIFA World Cup Germany ™,0-0,Group C,21 Jun 2006,Match 37,Argentina,Netherlands
2006 FIFA World Cup Germany ™,3-2,Group C,21 Jun 2006,Match 38,Serbia and Montenegro,Côte d'Ivoire
2006 FIFA World Cup Germany ™,0-2,Group E,22 Jun 2006,Match 41,Italy,Czech Republic
2006 FIFA World Cup Germany ™,2-1,Group E,22 Jun 2006,Match 42,USA,Ghana
1962 FIFA World Cup Chile ™,2-1,Group 1,30 May 1962,Match 1,Colombia,Uruguay
1958 FIFA World Cup Sweden ™,2-2,Group 4,08 Jun 1958,Match 5,England,Soviet Union
1958 FIFA World Cup Sweden ™,1-3,Group 1,08 Jun 1958,Match 7,Germany FR,Argentina
1958 FIFA World Cup Sweden ™,1-1,Group 3,08 Jun 1958,Match 2,Wales,Hungary
1958 FIFA World Cup Sweden ™,7-3,Group 2,08 Jun 1958,Match 3,Paraguay,France
1958 FIFA World Cup Sweden ™,1-1,Group 2,08 Jun 1958,Match 4,Scotland,Yugoslavia
1990 FIFA World Cup Italy ™,1-0,Final,08 Jul 1990,Match 52,Argentina,Germany FR
2002 FIFA World Cup Korea/Japan ™,0-3,Group E,11 Jun 2002,Match 36,Republic of Ireland,Saudi Arabia
2002 FIFA World Cup Korea/Japan ™,0-2,Group E,11 Jun 2002,Match 35,Germany,Cameroon
2002 FIFA World Cup Korea/Japan ™,1-1,Group F,12 Jun 2002,Match 37,Argentina,Sweden
2002 FIFA World Cup Korea/Japan ™,0-0,Group F,12 Jun 2002,Match 38,England,Nigeria
2002 FIFA World Cup Korea/Japan ™,1-3,Group B,12 Jun 2002,Match 40,Paraguay,Slovenia
1994 FIFA World Cup USA ™,2-2,Quarter-finals,10 Jul 1994,Match 48,Sweden,Romania
1994 FIFA World Cup USA ™,1-2,Semi-finals,13 Jul 1994,Match 49,Italy,Bulgaria
1994 FIFA World Cup USA ™,0-1,Semi-finals,13 Jul 1994,Match 50,Brazil,Sweden
1994 FIFA World Cup USA ™,4-0,Match for third place,16 Jul 1994,Match 51,Bulgaria,Sweden
1994 FIFA World Cup USA ™,0-0,Final,17 Jul 1994,Match 52,Italy,Brazil
1986 FIFA World Cup Mexico ™,2-0,Group C,06 Jun 1986,Match 16,Canada,Hungary
1986 FIFA World Cup Mexico ™,1-0,Group D,06 Jun 1986,Match 17,Algeria,Brazil
1986 FIFA World Cup Mexico ™,0-0,Group F,06 Jun 1986,Match 18,Morocco,England
1986 FIFA World Cup Mexico ™,1-2,Group D,07 Jun 1986,Match 20,Spain,Northern Ireland
1998 FIFA World Cup France ™,1-1,Group B,23 Jun 1998,Match 36,Cameroon,Chile
1998 FIFA World Cup France ™,0-3,Group A,23 Jun 1998,Match 34,Morocco,Scotland
1998 FIFA World Cup France ™,1-2,Group A,23 Jun 1998,Match 35,Norway,Brazil
1998 FIFA World Cup France ™,2-1,Group C,24 Jun 1998,Match 38,Denmark,France
1998 FIFA World Cup France ™,2-2,Group C,24 Jun 1998,Match 40,Saudi Arabia,South Africa
1970 FIFA World Cup Mexico ™,2-0,Group 2,02 Jun 1970,Match 2,Israel,Uruguay
1970 FIFA World Cup Mexico ™,3-2,Group 4,02 Jun 1970,Match 4,Bulgaria,Peru
1970 FIFA World Cup Mexico ™,1-0,Group 3,02 Jun 1970,Match 3,Romania,England
1970 FIFA World Cup Mexico ™,1-0,Group 2,03 Jun 1970,Match 6,Sweden,Italy
1970 FIFA World Cup Mexico ™,2-1,Group 4,03 Jun 1970,Match 8,Morocco,Germany FR
1982 FIFA World Cup Spain ™,1-1,Group 4,17 Jun 1982,Match 11,Kuwait,Czechoslovakia
1982 FIFA World Cup Spain ™,0-0,Group 5,17 Jun 1982,Match 12,Northern Ireland,Yugoslavia
1982 FIFA World Cup Spain ™,1-1,Group 1,18 Jun 1982,Match 13,Peru,Italy
